date,location,src,value
2020-09-27,San Francisco,mobility_average_person,0.657
2020-09-28,San Francisco,mobility_average_person,0.696
2020-09-29,San Francisco,mobility_average_person,1.1440000000000001
2020-09-30,San Francisco,mobility_average_person,1.4180000000000001
2020-10-01,San Francisco,mobility_average_person,2.174
2020-10-02,San Francisco,mobility_average_person,1.838
2020-10-03,San Francisco,mobility_average_person,1.324
2020-10-04,San Francisco,mobility_average_person,0.516
2020-10-05,San Francisco,mobility_average_person,1.05
2020-10-06,San Francisco,mobility_average_person,0.8640000000000001
2020-10-07,San Francisco,mobility_average_person,0.9470000000000001
2020-10-09,San Francisco,mobility_average_person,1.364
2020-10-10,San Francisco,mobility_average_person,1.24
2020-10-11,San Francisco,mobility_average_person,0.846
2020-10-12,San Francisco,mobility_average_person,0.759
2020-10-13,San Francisco,mobility_average_person,0.84
2020-10-14,San Francisco,mobility_average_person,1.018
2020-10-15,San Francisco,mobility_average_person,1.236
2020-10-16,San Francisco,mobility_average_person,1.319
2020-10-17,San Francisco,mobility_average_person,1.65
2020-10-18,San Francisco,mobility_average_person,0.787
2020-10-19,San Francisco,mobility_average_person,1.014
2020-10-20,San Francisco,mobility_average_person,0.941
2020-10-21,San Francisco,mobility_average_person,0.968
2020-10-22,San Francisco,mobility_average_person,1.228
2020-10-23,San Francisco,mobility_average_person,1.538
2020-10-24,San Francisco,mobility_average_person,1.449
2020-10-25,San Francisco,mobility_average_person,0.65
2020-10-26,San Francisco,mobility_average_person,0.8440000000000001
2020-10-27,San Francisco,mobility_average_person,0.987
2020-10-28,San Francisco,mobility_average_person,0.867
2020-10-29,San Francisco,mobility_average_person,0.955
2020-10-30,San Francisco,mobility_average_person,1.247
2020-01-13,San Francisco,trn,100.0
2020-01-14,San Francisco,trn,101.59
2020-01-15,San Francisco,trn,104.05
2020-01-16,San Francisco,trn,97.69
2020-01-17,San Francisco,trn,115.19
2020-01-18,San Francisco,trn,108.1
2020-01-19,San Francisco,trn,92.83
2020-01-20,San Francisco,trn,98.47
2020-01-21,San Francisco,trn,108.29
2020-01-22,San Francisco,trn,114.0
2020-01-23,San Francisco,trn,113.35
2020-01-24,San Francisco,trn,122.65
2020-01-25,San Francisco,trn,112.84
2020-01-26,San Francisco,trn,90.13
2020-01-27,San Francisco,trn,107.83
2020-01-28,San Francisco,trn,104.67
2020-01-29,San Francisco,trn,108.54
2020-01-30,San Francisco,trn,110.47
2020-01-31,San Francisco,trn,122.26
2020-02-01,San Francisco,trn,111.39
2020-02-02,San Francisco,trn,87.44
2020-02-03,San Francisco,trn,103.25
2020-02-04,San Francisco,trn,106.6
2020-02-05,San Francisco,trn,108.83
2020-02-06,San Francisco,trn,112.99
2020-02-07,San Francisco,trn,125.9
2020-02-08,San Francisco,trn,121.33
2020-02-09,San Francisco,trn,90.89
2020-02-10,San Francisco,trn,108.49
2020-02-11,San Francisco,trn,111.13
2020-02-12,San Francisco,trn,112.76
2020-02-13,San Francisco,trn,115.84
2020-02-14,San Francisco,trn,129.3
2020-02-15,San Francisco,trn,116.41
2020-02-16,San Francisco,trn,99.89
2020-02-17,San Francisco,trn,101.12
2020-02-18,San Francisco,trn,111.35
2020-02-19,San Francisco,trn,113.44
2020-02-20,San Francisco,trn,116.27
2020-02-21,San Francisco,trn,129.56
2020-02-22,San Francisco,trn,120.02
2020-02-23,San Francisco,trn,98.3
2020-02-24,San Francisco,trn,108.15
2020-02-25,San Francisco,trn,109.17
2020-02-26,San Francisco,trn,113.6
2020-02-27,San Francisco,trn,114.74
2020-02-28,San Francisco,trn,123.34
2020-02-29,San Francisco,trn,110.45
2020-03-01,San Francisco,trn,88.94
2020-03-02,San Francisco,trn,99.32
2020-03-03,San Francisco,trn,103.16
2020-03-04,San Francisco,trn,107.46
