ids,names,rating,review_count,price,transactions,is_closed,type_food,type_food_alias,latitude,longitude,country,state,city,zip_code
VcJzpsjaPi8HZ8zXI6GMOQ,Dear Inga,4.5,68,$$$,['delivery'],False,"Cocktail Bars, Hungarian, Modern European","cocktailbars, hungarian, modern_european",37.76183,-122.42292,US,CA,San Francisco,94110
4rXyiTBn0b9xiuKkHoJ32g,Señor Sisig,4.0,199,$$,['delivery'],False,Filipino,filipino,37.757154,-122.421326,US,CA,San Francisco,94110
u1SfgyXufKvyFLbYZGGI_g,Che Fico Alimentari,4.5,78,$$$,,False,Italian,italian,37.777467,-122.437936,US,CA,San Francisco,94117
vmZ-bgnM5B76NUpegAjy1g,Hotbird,4.5,131,,,False,"Sandwiches, Chicken Shop, Burgers","sandwiches, chickenshop, burgers",37.7768004184036,-122.416263845447,US,CA,San Francisco,94103
UNmJz8U03hjA5I5DB87BBw,Berliner Berliner,5.0,34,,['delivery'],False,"German, Burgers","german, burgers",37.77183,-122.43114,US,CA,San Francisco,94117
J7_-faNq_Ag9qTOlDn81Pw,Starbelly,4.0,1885,$$,"['delivery', 'pickup']",False,"Comfort Food, Cocktail Bars, Wine Bars","comfortfood, cocktailbars, wine_bars",37.7640744,-122.4325634,US,CA,San Francisco,94114
v6iAL-bM8rjkL1E7jIItXw,Willkommen,4.5,102,$$,"['delivery', 'pickup']",False,"German, Comfort Food, Breweries","german, comfortfood, breweries",37.7662780850621,-122.430849708617,US,CA,San Francisco,94114
KA-P3d2NcbJy5SQN-vCzPA,Aria Korean Street Food,4.0,891,$$,"['delivery', 'pickup']",False,"Korean, Tapas/Small Plates, Chicken Shop","korean, tapasmallplates, chickenshop",37.78655,-122.41795,US,CA,San Francisco,94109
z4g4bZPR-Z8bFlwv9APl2w,Presidio Kebab,5.0,103,$$,"['delivery', 'pickup']",False,Kebab,kebab,37.7880728,-122.4468073,US,CA,San Francisco,94115
HgwZt2453wZg3Uc3sYFGMQ,Chicken Dog Bagels,5.0,5,,,False,"Pop-Up Restaurants, Bagels","popuprestaurants, bagels",37.744075,-122.420555,US,CA,San Francisco,94110
Vqq-m8VvLWH2pV5BZZeRoA,DragonEats,4.5,223,$,['delivery'],False,Vietnamese,vietnamese,37.769497,-122.450111,US,CA,San Francisco,94117
9acPdpguULGPbChPwpS3aw,Ragazza,4.0,671,$$,"['delivery', 'restaurant_reservation']",False,"Italian, Pizza","italian, pizza",37.772476,-122.437473,US,CA,San Francisco,94117
ttarnopezxmp2ROB1N2PaA,Nopa,4.0,5089,$$$,['delivery'],False,"American (New), Desserts, Cocktail Bars","newamerican, desserts, cocktailbars",37.77483,-122.43746,US,CA,San Francisco,94117
As3wfdwjo9nyFywX7Ov3Mg,Konomama,4.5,66,$$,['delivery'],False,Japanese Curry,japacurry,37.7807500854503,-122.468708712617,US,CA,San Francisco,94118
8kck3-K4zYKTJbJko0JlXQ,Farmhouse Kitchen Thai Cuisine,4.0,2673,$$,"['delivery', 'pickup']",False,"Thai, Comfort Food","thai, comfortfood",37.760192883932795,-122.4114188698492,US,CA,San Francisco,94110
SGRmnarrNuVEsAjYdEoA0w,El Farolito,4.0,4986,$,['delivery'],False,Mexican,mexican,37.75265,-122.41812,US,CA,San Francisco,94110
